Compounds.ID	B1	B2	B3	B4	B5	BD1	BD2	BD3	BD4	BD5	BF1	BF2	BF3	BF4	BF5	BFD1	BFD2	BFD3	BFD4	BFD5	BFK1	BFK2	BFK3	BFK4	BFK5	BK1	BK2	BK3	BK4	BK5	D1	D2	D3	D4	D5	F1	F2	F3	F4	F5	FD1	FD2	FD3	FD4	FD5	FK1	FK2	FK3	FK4	FK5	K1	K2	K3	K4	K5	M1	M2	M3	M4	M5	QC1	QC10	QC11	QC12	QC13	QC2	QC3	QC4	QC5	QC6	QC7	QC8	QC9
c3527	263346.2	656315.9	138060.9	342614.2	139152.4	120361.5	71315.26	263003.3	117930.4	150078.2	247784.3	476193.9	172916.9	265994.8	353718.7	152090.8	171205.7	94170.6	94029.29	86624.42	74234.14	83007.75	179895.9	146147	134242.4	90522.8	100600.6	70283.21	198255.1	122843.6	892479.4	1047073	966085.6	1966511	1303408	1095243	1175645	970096.3	1521883	1725924	1156370	845017.8	938274.7	1594658	1145543	814054.3	571885.6	713584.9	796649.9	1028164	766322.9	952268.7	1138855	1008688	1608051	4767398	3841193	4336744	5139716	3629008	1529410	1460137	1424050	1404945	1392180	1419895	1470175	1429477	1453967	1455595	1424861	1452919	1460319
c3528	613356.6	724997	615132.7	427324.2	1119110	1545281	1617528	2053317	1825520	1747298	983303.3	734471.2	686376.4	494595.5	391542.7	1329485	1439617	1347335	1768774	1630289	1479348	1686819	2287125	1750293	1638717	1630168	1791487	2349010	1471668	1466294	1642363	1977699	1553437	2371550	1613610	1211254	1793349	1061009	1500279	1362714	1544475	1966783	2052764	2039676	1682072	1633335	1830690	1987318	1996167	1979282	1720967	2231850	1792937	1998548	1829429	1442572	1490642	1336871	1312745	1292527	2566075	2602720	2580273	2643203	2536996	2634589	2594336	2598093	2602648	2578266	2629499	2568050	2601557
c3529	143709.5	126129.7	138854.2	142946	141844.9	503830.6	438734.1	508730.1	460216.1	258345.2	306771.6	332146.9	124682.6	252749.1	276914.2	889757.9	536827.1	679466.7	885345.3	676386.8	1684204	2038191	2539801	1479012	1099473	1052961	497194.6	726297.3	542171.4	489197.6	1390763	1854773	1315933	1370710	1435997	721714.4	669121.8	819356.6	1392170	2175864	1950016	1715602	1897274	1963382	1398557	2984054	3658034	4468176	3051894	3163737	1897413	2731307	2012062	2009606	1253085	262869.9	367807.4	253003.6	326264.1	276151.7	1908440	1959496	1996138	1957851	1912739	2045655	2007445	1912137	1917305	1934487	2045911	1951187	1966687
c353	133242	63731.3	114721.2	171733.1	158080.3	55892124	75055299	35517189	66042516	55007058	172441	220888.1	116234.3	105963.7	97653.73	75364677	76097661	63544864	76447041	50456813	41988131	42548496	37194121	29247825	32058931	46594855	50583293	66710447	52755870	42905662	22560055	28907867	16709680	33733138	20837480	79618.71	84537.14	82350.06	80843.84	68240.29	18179051	25362232	16835367	21372619	14286403	21805644	21895355	12651327	20544028	23255452	20138955	27497258	21900178	32353846	22152079	42905	45313.51	48362.23	53586.01	43609.12	34571965	34200547	35201213	36987847	33701814	34906240	34531474	20317590	34414505	34591724	34498941	35757005	35049061
c3530	4659932	2615043	2984087	3164262	3059688	2882898	3108654	3337931	3202447	2960039	3545398	5402233	2756655	3075015	2819758	2791612	3405049	2894561	3662531	3254617	2961849	2393407	4317746	2587988	3028832	3344481	3538475	3939948	3497400	3043495	2485307	3226890	2884219	4156945	2954420	3257650	2978558	2479437	2955131	2794834	3429357	2977025	3893659	3655784	3074855	3258339	2674687	2702519	3481120	2946193	2845163	3997331	3657444	4962009	3498587	2956490	2884138	2956265	4248754	2934701	4427119	4676837	4626015	4236464	4274884	4680327	4479068	4519781	4358420	4414842	4491939	4543434	4606034
c3531	13099446	9964371	12164773	18321984	16192485	5567153	7507657	3773066	7628634	6386940	11292057	11613560	8095097	9506644	10583390	7294888	8075549	7541467	8956754	6578777	3224758	4720117	5179907	3546192	3707286	5074547	4868561	6847587	5577101	4539785	1540254	1733925	1192901	1918365	1469442	173628.7	165589.6	160193	171572.3	176480.6	1292329	1617945	1540416	1783964	1322232	1219604	1379829	732301.9	1314271	1739657	1039372	1189375	1208106	1788727	1292620	192639.5	208885.5	185754.8	195306.9	218057.9	5724866	5720538	5637801	5596403	5811706	5603961	5591558	5773713	5730932	5819453	5921939	5722649	5832569
c3532	9134501	7173638	9837554	10141845	9512484	2767883	3235696	3963029	4142492	3049627	10419333	9688062	6112809	8395625	6483846	2995297	2633066	3261102	3949391	3151021	3172055	3422083	5223239	3519915	2746030	3386896	2927205	3577990	2993272	2376656	2409771	3491559	2270532	3396841	3194950	2978231	3678212	3662653	3809535	3870008	2836427	3644882	3250068	3795955	3706521	2356457	3257455	3064899	3743199	3994881	2809385	3436885	2907240	3935055	3114894	2279415	3028621	2165091	2911712	2232370	5461449	5528262	5401238	5576496	5362580	5537447	5517950	5438665	5585337	5477808	5450412	5602100	5508673
c3533	17766392	14988575	18164998	18278587	15754135	8690302	7810902	10734811	14818942	9431494	14739535	13195791	8261690	12989681	12687115	7111009	6793031	9236105	7458434	8304787	5317277	7745806	11790057	6118885	5971320	11210746	7502940	17912409	8384098	9918788	10126845	8502132	11141191	17498926	13677355	5661450	5405129	4184897	6348478	6484299	10876356	9633671	9109957	12517297	11109701	9921899	6571648	6353625	8925594	9316343	13267752	15936784	16116389	15799243	15082291	16370129	17196983	16671228	19125959	18137730	15831479	15832786	15502814	15278034	15701730	16090254	15964911	15864877	15799847	15829422	15709091	15791239	15780350
c3534	4319988	3604772	3261212	4753477	4076623	4616487	3985070	3671026	4068996	3805752	4056721	4182326	3471670	4128466	3876161	3987491	4110866	4746407	3690967	4001559	3511756	4432835	5469717	3201471	3155387	4281923	3889676	4256333	4112311	3614794	4470997	4714824	4104457	5470221	4679914	3968482	3689927	3592982	4069059	3933256	4879807	4861726	5227557	4951633	4619317	4066785	3978208	4175512	4249917	3905016	3977107	4618922	4815275	4924265	5095862	4120285	3989054	4125566	3983169	4964291	5755047	5893241	6152944	5604546	5891863	5662216	5794623	5685344	5773167	5800410	5572186	4389769	5413902
c3535	5805852	5521162	5720020	5979099	5448862	5454647	4693505	5311359	5254012	5293856	5837302	6728249	6505089	5187674	5330889	5905969	5239140	5691464	6019518	5298958	8069684	8790070	10486054	7121611	6805037	5290102	5459371	6762331	5559399	4769806	4430542	5467255	3737146	4823390	5098157	7218010	6782789	6467593	6507744	6591811	5977505	4688776	4759545	4572143	5014444	5965543	7200613	8272606	6745817	6720362	4938578	6329441	6145693	6078479	4104625	4798124	3804977	4403084	4978274	4226210	8247094	8188497	8255578	8013748	8071859	8246760	8190470	8118955	8208848	8196732	8208121	8210839	8081420
