bgc	BGC of	coculture	LFC
Bc_Ga0417192_01_rn28	Bcer	Three-member	-0.232236793673149
Bc_Ga0417192_01_rn29	Bcer	Three-member	0.0271433785409994
Bc_Ga0417192_01_rn30	Bcer	Three-member	0.212414610116507
Bc_Ga0417192_01_rn31	Bcer	Three-member	1.21664359559936
Bc_Ga0417192_01_rn32	Bcer	Three-member	-1.44840877770956
Bc_Ga0417192_01_rn33	Bcer	Three-member	-0.171886633756708
Bc_Ga0417192_01_rn34	Bcer	Three-member	0.977993865586683
Bc_Ga0417192_01_rn35	Bcer	Three-member	-0.125676460376343
Bc_Ga0417192_01_rn36	Bcer	Three-member	0.96136492201071
Bc_Ga0417192_01_rn37	Bcer	Three-member	-0.314084040443179
Bc_Ga0417192_01_rn38	Bcer	Three-member	-1.0431631512559
Bc_Ga0417192_02_rn01	Bcer	Three-member	0.42005351264313
Bc_Ga0417192_02_rn02	Bcer	Three-member	0.313172617614177
Bc_Ga0417192_02_rn03	Bcer	Three-member	1.07969408836511
Bc_Ga0417192_02_rn04	Bcer	Three-member	-0.618572992232222
Bc_Ga0417192_03_rn01	Bcer	Three-member	1.29884094628981
Bc_Ga0417192_03_rn02	Bcer	Three-member	-0.370642372496959
Fj_NC_009441.1_rn01	Fjoh	Pairwise with Bcer	0.335870959811592
Fj_NC_009441.1_rn02	Fjoh	Pairwise with Bcer	0.291332373835394
Fj_NC_009441.1_rn03	Fjoh	Pairwise with Bcer	-0.161358569101658
Fj_NC_009441.1_rn04	Fjoh	Pairwise with Bcer	-0.255111737673951
Fj_NC_009441.1_rn05	Fjoh	Pairwise with Bcer	0.214798740285823
Fj_NC_009441.1_rn06	Fjoh	Pairwise with Bcer	0.0718637039109557
Fj_NC_009441.1_rn07	Fjoh	Pairwise with Bcer	-0.306209949279959
Fj_NC_009441.1_rn08	Fjoh	Pairwise with Bcer	0.834916719847916
Fj_NC_009441.1_rn09	Fjoh	Pairwise with Bcer	-0.652638846813438
Fj_NC_009441.1_rn10	Fjoh	Pairwise with Bcer	1.85117152057701
Fj_NC_009441.1_rn11	Fjoh	Pairwise with Bcer	-0.343877128276893
Fj_NC_009441.1_rn12	Fjoh	Pairwise with Bcer	-0.742728344990223
Fj_NC_009441.1_rn13	Fjoh	Pairwise with Bcer	0.35030900246203
Fj_NC_009441.1_rn14	Fjoh	Pairwise with Bcer	2.20748058361877
Fj_NC_009441.1_rn15	Fjoh	Pairwise with Bcer	-1.90886007899805
Fj_NC_009441.1_rn16	Fjoh	Pairwise with Bcer	0.860728644536352
Fj_NC_009441.1_rn17	Fjoh	Pairwise with Bcer	0.361097782344356
Fj_NC_009441.1_rn18	Fjoh	Pairwise with Bcer	-0.0698316008587867
Fj_NC_009441.1_rn19	Fjoh	Pairwise with Bcer	0.0698316008587868
Fj_NC_009441.1_rn20	Fjoh	Pairwise with Bcer	-0.285649912087717
Fj_NC_009441.1_rn21	Fjoh	Pairwise with Bcer	-0.340671653007686
Fj_NC_009441.1_rn22	Fjoh	Pairwise with Bcer	0.321215611946727
Fj_NC_009441.1_rn23	Fjoh	Pairwise with Bcer	0.138079333188713
Fj_NC_009441.1_rn24	Fjoh	Pairwise with Bcer	-0.676821337233235
Fj_NC_009441.1_rn25	Fjoh	Pairwise with Bcer	-1.10394425565701
Fj_NC_009441.1_rn26	Fjoh	Pairwise with Bcer	0.28331558329226
Fj_NC_009441.1_rn27	Fjoh	Pairwise with Bcer	-0.229331769658427
Fj_NC_009441.1_rn28	Fjoh	Pairwise with Bcer	-0.381144634326432
Fj_NC_009441.1_rn01	Fjoh	Pairwise with Pkor	0.385193956883568
Fj_NC_009441.1_rn02	Fjoh	Pairwise with Pkor	0.266750964228307
Fj_NC_009441.1_rn03	Fjoh	Pairwise with Pkor	-0.0424797330761016
Fj_NC_009441.1_rn04	Fjoh	Pairwise with Pkor	-1.05830914358229
Fj_NC_009441.1_rn05	Fjoh	Pairwise with Pkor	-0.322928314320823
Fj_NC_009441.1_rn06	Fjoh	Pairwise with Pkor	-0.18413885600866
Fj_NC_009441.1_rn07	Fjoh	Pairwise with Pkor	-1.00833628021054
Fj_NC_009441.1_rn08	Fjoh	Pairwise with Pkor	0.300641457544558
Fj_NC_009441.1_rn09	Fjoh	Pairwise with Pkor	-2.36305832228857
Fj_NC_009441.1_rn10	Fjoh	Pairwise with Pkor	0.323849683361285
Fj_NC_009441.1_rn11	Fjoh	Pairwise with Pkor	-0.726627965413782
Fj_NC_009441.1_rn12	Fjoh	Pairwise with Pkor	-0.750155817307329
Fj_NC_009441.1_rn13	Fjoh	Pairwise with Pkor	-0.085013533448928
Fj_NC_009441.1_rn14	Fjoh	Pairwise with Pkor	0.103095993069254
Fj_NC_009441.1_rn15	Fjoh	Pairwise with Pkor	1.90196098783626
Fj_NC_009441.1_rn16	Fjoh	Pairwise with Pkor	0.635590188374658
Fj_NC_009441.1_rn17	Fjoh	Pairwise with Pkor	0.0238096396583993
Fj_NC_009441.1_rn18	Fjoh	Pairwise with Pkor	1.30733918583855
Fj_NC_009441.1_rn19	Fjoh	Pairwise with Pkor	-0.358018935674139
Fj_NC_009441.1_rn20	Fjoh	Pairwise with Pkor	-1.11797286184392
Fj_NC_009441.1_rn21	Fjoh	Pairwise with Pkor	-1.09006711659292
Fj_NC_009441.1_rn22	Fjoh	Pairwise with Pkor	1.04995895987192
Fj_NC_009441.1_rn23	Fjoh	Pairwise with Pkor	0.173090366750596
Fj_NC_009441.1_rn24	Fjoh	Pairwise with Pkor	-0.0238096396583993
Fj_NC_009441.1_rn25	Fjoh	Pairwise with Pkor	3.21328879487516
Fj_NC_009441.1_rn26	Fjoh	Pairwise with Pkor	0.62695636765654
Fj_NC_009441.1_rn27	Fjoh	Pairwise with Pkor	5.45777418208447
Fj_NC_009441.1_rn28	Fjoh	Pairwise with Pkor	-0.284825870770637
Fj_NC_009441.1_rn01	Fjoh	Three-member	0.313163600007779
Fj_NC_009441.1_rn02	Fjoh	Three-member	0.0156884550329617
Fj_NC_009441.1_rn03	Fjoh	Three-member	-0.406513890918563
Fj_NC_009441.1_rn04	Fjoh	Three-member	-0.902547847627915
Fj_NC_009441.1_rn05	Fjoh	Three-member	-0.567259100752527
Fj_NC_009441.1_rn06	Fjoh	Three-member	-0.447408449228872
Fj_NC_009441.1_rn07	Fjoh	Three-member	-0.868982374945761
Fj_NC_009441.1_rn08	Fjoh	Three-member	0.462893367002166
Fj_NC_009441.1_rn09	Fjoh	Three-member	-1.77739352813073
Fj_NC_009441.1_rn10	Fjoh	Three-member	0.470612359184321
Fj_NC_009441.1_rn11	Fjoh	Three-member	-0.683172249813762
Fj_NC_009441.1_rn12	Fjoh	Three-member	-0.982192860670778
Fj_NC_009441.1_rn13	Fjoh	Three-member	-0.0156884550329617
Fj_NC_009441.1_rn14	Fjoh	Three-member	0.0279573872362331
Fj_NC_009441.1_rn15	Fjoh	Three-member	2.09277949273718
Fj_NC_009441.1_rn16	Fjoh	Three-member	0.739241073501657
Fj_NC_009441.1_rn17	Fjoh	Three-member	0.280894132890662
