bgc	BGC of	coculture	LFC
Bc_Ga0417192_01_rn09	Bcer	Three-member	-0.462489974
Bc_Ga0417192_01_rn10	Bcer	Three-member	0.365733515
Bc_Ga0417192_01_rn11	Bcer	Three-member	-0.547297794
Bc_Ga0417192_01_rn12	Bcer	Three-member	-0.22055964
Bc_Ga0417192_01_rn13	Bcer	Three-member	-1.232102439
Bc_Ga0417192_01_rn14	Bcer	Three-member	0.214829148
Bc_Ga0417192_01_rn15	Bcer	Three-member	-0.545133215
Bc_Ga0417192_01_rn16	Bcer	Three-member	0.668338534
Bc_Ga0417192_01_rn17	Bcer	Three-member	-0.744797627
Bc_Ga0417192_01_rn18	Bcer	Three-member	0.051283398
Bc_Ga0417192_01_rn19	Bcer	Three-member	1.054344315
Bc_Ga0417192_01_rn20	Bcer	Three-member	-0.345227709
Bc_Ga0417192_01_rn21	Bcer	Three-member	0.644743989
Bc_Ga0417192_01_rn22	Bcer	Three-member	-2.52519936
Bc_Ga0417192_01_rn23	Bcer	Three-member	-0.277155455
Bc_Ga0417192_01_rn24	Bcer	Three-member	0.38614878
Bc_Ga0417192_01_rn25	Bcer	Three-member	-0.027143379
Bc_Ga0417192_01_rn26	Bcer	Three-member	0.627610288
Bc_Ga0417192_01_rn27	Bcer	Three-member	-0.03792605
Bc_Ga0417192_01_rn28	Bcer	Three-member	-0.232236794
Bc_Ga0417192_01_rn29	Bcer	Three-member	0.027143379
Bc_Ga0417192_01_rn30	Bcer	Three-member	0.21241461
Bc_Ga0417192_01_rn31	Bcer	Three-member	1.216643596
Bc_Ga0417192_01_rn32	Bcer	Three-member	-1.448408778
Bc_Ga0417192_01_rn33	Bcer	Three-member	-0.171886634
Bc_Ga0417192_01_rn34	Bcer	Three-member	0.977993866
Bc_Ga0417192_01_rn35	Bcer	Three-member	-0.12567646
Bc_Ga0417192_01_rn36	Bcer	Three-member	0.961364922
Bc_Ga0417192_01_rn37	Bcer	Three-member	-0.31408404
Bc_Ga0417192_01_rn38	Bcer	Three-member	-1.043163151
Bc_Ga0417192_02_rn01	Bcer	Three-member	0.420053513
Bc_Ga0417192_02_rn02	Bcer	Three-member	0.313172618
Bc_Ga0417192_02_rn03	Bcer	Three-member	1.079694088
Bc_Ga0417192_02_rn04	Bcer	Three-member	-0.618572992
Bc_Ga0417192_03_rn01	Bcer	Three-member	1.298840946
Bc_Ga0417192_03_rn02	Bcer	Three-member	-0.370642372
