"Compounds.ID"	"B1"	"B2"	"B3"	"B4"	"B5"	"BD1"	"BD2"	"BD3"	"BD4"	"BD5"	"BF1"	"BF2"	"BF3"	"BF4"	"BF5"	"BFD1"	"BFD2"	"BFD3"	"BFD4"	"BFD5"	"BFK1"	"BFK2"	"BFK3"	"BFK4"	"BFK5"	"BK1"	"BK2"	"BK3"	"BK4"	"BK5"	"D1"	"D2"	"D3"	"D4"	"D5"	"F1"	"F2"	"F3"	"F4"	"F5"	"FD1"	"FD2"	"FD3"	"FD4"	"FD5"	"FK1"	"FK2"	"FK3"	"FK4"	"FK5"	"K1"	"K2"	"K3"	"K4"	"K5"	"M1"	"M2"	"M3"	"M4"	"M5"	"QC1"	"QC10"	"QC11"	"QC12"	"QC13"	"QC2"	"QC3"	"QC4"	"QC5"	"QC6"	"QC7"	"QC8"	"QC9"
"c1009"	1839281.31564586	2062190.48602471	2024319.43553856	1235440.55890312	2322919.55582544	5937719.33431494	5852981.67371353	6591480.59191347	5771465.13737132	2319325.57409412	1573402.7072107	1952549.60836925	2272946.80057025	1380245.50004087	1090288.28058451	5720702.31735458	5628211.2902979	5499049.06270337	5881500.29079457	5468670.00035899	4836473.44120359	5342181.78318327	6913230.49419332	7634565.45946577	4873719.85818104	6578173.75286245	5536168.96739284	7865799.61367204	5593771.77089341	5066814.84182976	6110866.64284546	8902083.45600968	5939652.86448067	6956386.98332817	5535076.84305939	2790873.75583193	3739010.90974492	2624845.89532728	3627248.07356971	2875311.60313717	6156765.32324636	6694138.53923484	6659021.16045611	6913005.0816308	6470591.46537559	4977147.68401797	6214795.62786804	5887698.67906632	5732021.28791489	6847520.72531212	5092114.12387862	8753334.53185712	7696378.78684945	7848251.53874021	7229171.94037321	3295162.92011322	3202243.12060894	3249581.25773193	3158612.26798273	3171499.13917988	7190198.90969998	7243266.24134124	7261436.08859301	7008681.77583023	7087674.39643798	7325025.89721013	7193886.96332682	7129472.13917271	7184087.5271146	7086986.38397311	7311623.83290523	7094539.80687163	7235885.40534748
"c101"	30689261.9955431	11680451.6310334	16516624.6302508	3207429.39463173	101815044.679232	62923349.7844197	20387796.5432482	20497143.4943401	35888052.1839837	50346304.1714864	39780467.3176861	158789482.169489	42447991.8071145	12673567.1081788	45649744.2290023	37748.8104127892	76267835.9093751	113315234.158128	22691855.4943249	20773158.20004	15784448.9797434	14310689.5381758	18964119.0472891	21686949.4406128	45454271.7894661	18738013.5334435	10332129.4055025	30140459.6945956	18603740.6903251	24937636.1204103	66429.0788214179	59216258.3547001	76621050.2507157	15011386.0869925	113406385.514229	41206404.2751117	283486016.086166	43010412.3671971	130305883.2676	38105178.5270473	30189112.5580773	80554754.569747	75073141.9946945	19376149.591704	29195985.8191789	14127601.1053714	47035207.8462858	77940338.0898725	126319063.838033	45271791.9908149	97887570.5655897	22646990.3229511	114543419.44157	32276968.8560283	32440.8989472852	9783008.86848873	16129772.2453318	12122424.901621	267137.990817391	219864.189691742	59220748.4925245	55979455.6517036	56498006.9768932	51395162.6339473	54967986.9561615	55716250.7338894	56311673.2153286	54504363.8912506	52762508.7377873	54927206.1663378	55704307.2925737	55851857.7318325	55463444.1049864
"c1010"	11884478.0436163	10058873.0976577	14225568.5406808	16058947.3844792	12786430.5554704	11821141.9072777	11000641.1233137	10982877.0675452	11991070.0884706	11191856.5605878	16466594.8491508	13139608.5018472	11782141.1861616	10097039.8698247	13232169.714721	11913036.7521393	10636448.1855818	10957556.47767	10472099.2422062	12973990.7529731	9632766.46088648	8499504.17167156	13384016.6149532	8902306.68712943	7447024.94486867	10403096.9901878	9554962.57008767	11914738.1756304	11266995.5445151	9973807.13927389	11366873.0719891	12515576.2405278	10400125.8792099	10629824.9097562	11855180.8857271	11131697.0966273	12097807.3547153	25350829.2373071	16370409.7845348	12198718.8845064	11374234.9032244	13056927.2696752	12475279.4618111	12358380.5685512	10912662.8937957	9328627.63796789	16288719.3859626	7383738.56018299	10993338.6353142	10009150.7283727	10908096.4239164	12804875.1975993	13190914.77692	12436522.0072887	10454731.6561745	10035225.7611252	10696766.129169	9349467.24400316	11840395.4453177	10267997.6676566	15317007.2804755	14540529.2443252	15362093.8759397	15838804.7973698	14260268.9416321	15603744.2151457	15085529.1361651	15168019.6623871	15317060.2412123	15161308.1802561	15246902.0268839	15313176.6824616	15155573.4286892
"c1011"	24276845.958809	20046720.5142487	21688961.9733343	27671687.7204949	20516818.2750635	13685396.6512098	15063939.30538	21561854.7138722	20436130.9168775	19319699.2149654	22847605.054539	24330510.468592	14941409.9161988	21098682.7261628	21168655.4899194	13606055.8917739	13588587.3519231	13538799.4510808	16922593.6434174	13976180.3563628	11366712.6970886	13595213.6556554	21307077.486146	9827749.2376478	9944517.85484163	19391747.4797609	16100671.0659625	18517148.1718385	18744176.3230784	13961511.7089124	13227645.4543513	14499799.6207344	11067368.7391063	20544359.9526623	17337622.5573027	14524191.1611185	15500678.3618968	15058519.3333026	14768767.1837955	14334380.8480331	14952351.4152079	14387592.6010219	15142972.5265929	17277271.6342203	16536096.824403	15083374.2954015	12772492.9956194	10809683.6882428	16587777.4563515	15745664.7219023	14150524.5175229	19482079.7301953	19711296.6704536	23553222.3635678	15091598.3157835	15482386.268241	15755568.9521775	10689926.7548958	20806551.2236681	15169140.972471	19583198.4441438	21228899.1465194	21746205.186049	21219060.6366117	21442773.3714611	20758665.6219346	21135967.8754026	21928528.31875	21191695.9263944	21530604.091704	21521191.4649231	21192791.9922054	22338503.8509786
"c1012"	10330744.1630829	6642805.65240311	8871664.09619874	12517207.4276504	13224145.7750937	19396326.6299183	21381254.4014764	8363516.47513888	12720020.7419198	9560324.59779129	13199638.8129494	17920196.2772274	10525826.8514217	10692560.978358	12383736.038431	22175993.3610978	21387681.2372954	23669473.7475651	16279871.9979621	15986485.3452248	34379675.0643085	38403672.4103713	42217907.1385403	30164885.1034376	27872106.7946437	15235174.7015645	10602078.5342917	19519524.1720156	8667828.5378818	6665003.0754772	16219856.713578	20585862.8523776	17032940.9670882	15677053.2175191	16728917.0997594	13987163.3904414	15735752.3136892	12781239.9494487	13928145.6875657	15284029.0909452	19952973.5886759	21043757.0662602	22325042.9523361	19387113.5375801	21141802.4325203	27829192.1750907	38075271.9515112	42291673.7637916	33393367.325452	35063649.577907	13995352.2696314	18281107.0745401	16011877.4131004	8027078.78412382	9503991.34731382	5469810.04793395	5904882.79374338	5243415.94925462	5591506.34461856	4710270.28472765	22847248.9399646	23600625.3002723	23806131.9463697	22808572.4304624	22791522.8495577	23777439.2358832	23420949.7374392	23663563.7036093	21426937.9153715	23076623.506489	23339225.2004475	23133462.3132613	23675097.4515081
"c1015"	5967082.6436548	12704343.8919423	14315657.6339128	1701392.02255062	2663857.50416972	37682325.652152	29210828.9867704	66668485.1869026	44550525.6978557	49288453.5551904	15377412.870812	14053567.1233136	11149637.0896621	14888293.3349543	8700405.51898745	23365272.9442284	19480058.5752834	14754835.8688251	3901179.21319298	41130382.0149888	36568903.2491927	19104120.512807	40039241.6042794	32508865.4188037	7990883.07720472	41093111.3075571	42877281.3835308	34363366.6476831	45489934.2620649	40618715.7962132	53352039.7317448	2874032.6506241	54482034.6310012	74471334.0136672	61402477.9833412	43947624.9065335	42705943.0341465	34470015.131786	42351740.9065554	40358456.0856972	58255645.3522976	60228527.7607598	50266691.3476399	61708790.5547021	55708262.0933856	9513168.70865644	45080133.3332577	35004758.161114	48325471.2699545	50181724.0206343	55076695.2378015	57323234.165243	57775812.2552488	60198087.6353574	53781925.0203872	56120144.2369719	58733229.5392903	57097092.1249855	62626042.2588794	58786649.5246017	46829721.395362	47259294.0684482	46987756.517834	48287197.677038	45086103.6010514	47997987.2096169	47077081.2012343	46637496.1279653	47136740.2017202	46561642.1071887	47072177.6885134	47207482.3668429	45975271.5478886
"c1016"	73770.4055958504	42736.4855644951	219562.731284238	103756.296614952	64282.2293055694	181730348.631786	164644316.698121	217371701.075698	181844176.532348	172367413.51983	35992.2650864593	281986.078468571	175076.541550426	29632.64508311	41821.2780628699	174583592.508587	158070275.971931	141825570.906813	190410162.225179	24562173.4173862	140561980.55158	156429653.478049	163415243.085894	112768770.931236	111278595.07974	187087732.998846	153045507.837799	251598084.040345	161312223.303463	154595326.399849	11559656.9772335	41491394.8553119	110468616.068509	330924032.481445	283933269.439421	630329.022120997	660093.581964525	839723.691637991	675879.813851117	808749.583444954	226880747.787236	247784114.15068	22824478.434568	282079756.01005	213874034.35916	237779480.198368	256486946.702165	227413756.554698	245453069.656879	218681459.083579	294960835.32217	382534161.440789	367015806.278155	10072986.242251	299572143.597333	337499.749358089	256798.31166659	333813.537663574	396095.676841811	17398.144657646	216695906.534224	214769668.577134	211835487.797994	214757908.079831	206853630.080314	215293267.857686	214674175.666646	214743991.616952	216059877.745538	214089764.099077	214563320.960004	213250815.825353	214424206.41793
"c1017"	2218051.5316916	1419655.19584634	2269479.55887111	2197662.03354335	2234198.5485694	17143907.7371545	17077228.1627568	26429714.9291894	26992469.1713956	21867887.1471353	2151281.50334623	1854795.29891155	1481575.24085125	1773709.38251713	1818728.69545427	15301436.4580794	13644303.0071682	10214425.2813646	21948433.8076968	18519658.9613595	9381636.18116096	5824597.03043498	11795092.1748396	9031513.93631443	11726435.3328066	17265781.0310785	20760709.9102972	17677501.5737181	24163548.1853828	18974518.1228072	21637312.4950253	26780236.2063658	19747584.6137158	30984638.1720737	23321138.4637718	1577573.72003661	1391523.97448529	1214221.99186917	3035229.78311648	4255970.04782643	18808976.7144719	20854398.0110781	15902621.5106739	25510511.5800783	18300254.0860223	17767393.9466163	15217088.4846551	8831859.96731357	17161428.6032644	20914395.8760799	25158147.0846275	26431837.4139414	24521463.1934553	30734242.8635479	23539676.4686679	1161879.69601698	1530542.43617869	1439966.38050018	1602737.52087526	1728922.42252699	17495683.4764668	17308566.9603186	17594443.9469454	17283688.1321206	17114763.5016355	17412367.8896622	17355717.8883318	17588923.4456045	17567642.8183037	17478996.1936697	17389857.7049395	17822766.1821598	17081131.5530069
"c1018"	283434.922597601	275150.647179523	275360.303142227	264144.591834159	289874.569207649	288354.600750155	256785.332001654	264743.14447087	256924.101047042	269837.905961688	265292.91386271	294661.446613999	292443.27707335	261219.013797245	278546.161538987	266555.649650959	263946.957161448	270604.224329224	266606.819532475	280030.314974486	36524424.8960334	26137479.1393884	31437856.5447105	23537695.6943099	29788209.9605256	48683352.2874647	40987730.1211088	37647218.6546571	32811644.059042	28841181.5585339	278757.179666975	278045.647200457	249241.619255878	260053.023591686	270531.823053421	278758.801302833	275940.204529818	251551.609734799	253457.910442686	266420.180448893	283617.350550221	282997.548086613	293059.023990195	264985.27236237	292638.204304077	33840053.3339445	35990150.2949898	27519107.7057315	27213603.1517157	34099871.9622648	41970050.0778247	50140431.7059044	44901420.5608779	37603303.0867842	36601746.3739034	262538.85163725	266312.144543157	273703.626348045	260530.22700051	274009.417212921	17413977.3735615	17085570.8342577	17123324.4151456	16614602.2067017	16696687.467178	17121524.2774851	17061723.9838923	16850384.5080059	17061150.9024369	17118533.0969607	17104850.0928066	17080873.9213854	16919011.0976638
"c1019"	12917747.8532173	11445811.404422	13043964.0485316	12943843.3667828	13470398.6172832	13388140.2557861	13565092.4492689	12642701.5234368	12840281.5903474	12879633.021364	12478015.4428345	12926099.124891	11517688.5587601	12381806.2741659	11842711.915072	12294902.3058127	13131163.6817385	12898873.5390516	12813874.5633631	13002026.5165351	13464118.569968	12620364.3116766	14878787.5344321	12156729.913597	11467341.0836482	12665957.121017	12298494.8184603	13744591.1794922	12954016.8097629	12163027.2702651	11571018.2097196	12882930.7583508	13353857.2037681	14731345.0759855	14384330.165606	13196528.7327382	13974144.752203	12484795.82134	14016095.4928348	12944889.4548591	13354728.9046597	13155070.1211213	11744751.5829182	15112238.083196	13526695.6349945	13286338.8847368	11003533.3808685	11106091.6319628	13529353.9893901	14072434.1039708	13446224.937426	12883197.7578623	14818387.0183739	15014032.7942075	12889432.7687534	10965400.400154	13642143.8333898	11469466.2797461	16967594.8889185	13157052.589199	16909883.8879918	17015424.4347471	16731997.4296981	16867712.5232831	17014264.1106222	16941327.8715844	16783432.7720693	17173419.2990459	16882914.1092961	17250635.7514758	17361216.4584552	17060923.6153597	17053647.3738559
